category_id,difficulty,statement,option_1,option_2,option_3,option_4,correct_option_index,explanation_correct,explanation_incorrect,source_citation
4,1,"¿El cáncer de colon es una enfermedad que se puede prevenir con hábitos saludables?","Sí","No","Solo con cirugía","Solo con medicamentos",0,"Correcto. El cáncer de colon es altamente prevenible mediante la adopción de estilos de vida saludables y chequeos regulares.","Incorrecto. La prevención primaria a través de hábitos es la estrategia más efectiva según la OMS.","OMS / MSP Ecuador"
2,1,"¿La inactividad física aumenta el riesgo de desarrollar cáncer de colon?","Verdadero","Falso","No está relacionado","Solo en ancianos",0,"Correcto. La inactividad física es un factor de riesgo modificable clave identificado en la literatura científica.","Incorrecto. El sedentarismo está fuertemente vinculado al aumento del riesgo de cáncer colorrectal.","Guías MSP Ecuador"
3,2,"Según las guías de salud pública actuales, ¿a qué edad se recomienda generalmente iniciar el tamizaje para cáncer de colon?","A los 20 años","A los 45 años","A los 65 años","Cuando aparezcan síntomas graves",1,"Correcto. Las recomendaciones actuales sugieren iniciar el tamizaje a los 45 años para una detección temprana efectiva.","Incorrecto. Retrasar el tamizaje aumenta el riesgo; la edad recomendada ha bajado a 45 años.","ACS / MSP Ecuador"
2,2,"¿Cuál de los siguientes alimentos se asocia con un mayor riesgo de cáncer de colon si se consume en exceso?","Frutas y verduras","Pescado azul","Carnes rojas y procesadas","Granos integrales",2,"Correcto. El consumo excesivo de carne roja y procesada es un factor de riesgo modificable reconocido por la OMS.","Incorrecto. Esos alimentos suelen ser protectores; las carnes procesadas son las que aumentan el riesgo.","OMS (IARC)"
3,3,"Además de la colonoscopía, ¿qué otra prueba se utiliza comúnmente para el tamizaje inicial?","Radiografía de tórax","Prueba inmunoquímica fecal (FIT)","Examen de orina","Electrocardiograma",1,"Correcto. La prueba inmunoquímica fecal es un método de tamizaje validado y menos invasivo para la detección inicial.","Incorrecto. Se buscan marcadores específicos en heces o visualización directa del colon, no en tórax u orina.","MSP Ecuador"
1,3,"¿Por qué es crítica la detección temprana del cáncer de colon?","Porque no existe tratamiento en etapas avanzadas","Porque la supervivencia disminuye drásticamente entre la Etapa I y la IV","Porque afecta solo a personas jóvenes","Porque es contagioso",1,"Correcto. Existe una gran diferencia en la supervivencia dependiendo de la etapa en que se detecte la enfermedad.","Incorrecto. Sí hay tratamiento en etapas avanzadas, pero la probabilidad de cura es mucho menor.","Estadísticas Globales"
1,4,"Según la evidencia científica, ¿cuál es la tasa aproximada de supervivencia si el cáncer se detecta en la Etapa I?","Alrededor del 50%","Aproximadamente el 91%","Cerca del 14%","El 100% siempre",1,"Correcto. La detección en Etapa I ofrece una tasa de supervivencia a 5 años muy alta, cercana al 91%.","Incorrecto. En etapas tempranas la supervivencia es mucho mayor al 50% o 14%.","SEOM / MSP"
1,4,"En contraste, ¿a cuánto desciende la tasa de supervivencia si el cáncer se detecta tardíamente en la Etapa IV?","Baja al 60%","Baja drásticamente al 14%","Se mantiene en el 80%","Es del 5%",1,"Correcto. La supervivencia en Etapa IV cae significativamente al 14%, lo que resalta la importancia del tamizaje.","Incorrecto. La metástasis reduce drásticamente las opciones curativas.","Cancer.org / MSP"
2,5,"En términos estadísticos de riesgo (Odds Ratio - OR), ¿cuál es el impacto de tener historia familiar de cáncer de colon?","OR de 1.57","OR de 5.90 (Riesgo muy alto)","OR de 1.44","No tiene impacto estadístico",1,"Correcto. La historia familiar es un factor de riesgo no modificable crítico, elevando el riesgo casi 6 veces.","Incorrecto. Tener familiares directos afectados aumenta el riesgo mucho más que otros factores.","Literatura Médica (Meta-análisis)"
2,5,"Según la literatura validada, ¿cuál es el Odds Ratio (OR) asociado al tabaquismo como factor de riesgo?","OR 1.44","OR 5.90","OR 0.35","OR 2.50",0,"Correcto. El tabaquismo presenta un OR aproximado de 1.44, indicando una asociación significativa.","Incorrecto. El tabaco es nocivo, pero su OR específico para colon ronda el 1.44 en estudios poblacionales.","Estudios Epidemiológicos"
2,5,"¿Qué valor de Odds Ratio (OR) se atribuye a la obesidad como factor de riesgo para cáncer de colon?","OR 1.57","OR 3.00","OR 0.90","OR 10.5",0,"Correcto. La obesidad es un factor de riesgo modificable con un OR de 1.57 según estudios referenciados.","Incorrecto. La obesidad aumenta el riesgo cerca del 50-60% (OR 1.5-1.6), no lo triplica ni decuplica.","OMS / Meta-análisis"
1,1,"¿El cáncer de colon es uno de los tipos de cáncer más comunes a nivel mundial?","Sí, está entre los más frecuentes","No, es una enfermedad rara","Solo afecta a países fríos","Ya ha sido erradicado",0,"Correcto. Es el tercer cáncer más común en hombres y el segundo en mujeres a nivel mundial.","Incorrecto. Es una patología de alta incidencia global, no es rara.","Globocan 2022"
1,2,"¿Cuál es la región anatómica donde se origina este tipo de cáncer?","Intestino delgado","Intestino grueso (colon) o recto","Estómago","Hígado",1,"Correcto. Se origina en el revestimiento del colon o del recto.","Incorrecto. Aunque afecta al sistema digestivo, su origen primario es el colon o recto.","Anatomía Patológica Básica"
4,1,"¿Consumir fibra regularmente ayuda a proteger contra el cáncer de colon?","Sí, es un factor protector","No, la fibra daña el colon","Es indiferente","Solo si es fibra sintética",0,"Correcto. La fibra acelera el tránsito intestinal y diluye carcinógenos potenciales.","Incorrecto. Múltiples estudios confirman el efecto protector de la fibra dietética.","Nutrición y Cáncer"
2,2,"¿El consumo de alcohol está relacionado con el cáncer de colon?","No tiene relación","Sí, el consumo moderado a alto aumenta el riesgo","El alcohol protege el colon","Solo la cerveza afecta",1,"Correcto. El alcohol es un carcinógeno confirmado que aumenta el riesgo de cáncer colorrectal.","Incorrecto. El alcohol no protege; al contrario, irrita la mucosa y aumenta el riesgo.","OMS (IARC)"
3,1,"¿Qué es un pólipo colónico?","Un tumor maligno avanzado","Un crecimiento de tejido que puede volverse canceroso","Una infección bacteriana","Una herida en el colon",1,"Correcto. La mayoría de los cánceres de colon comienzan como pólipos adenomatosos.","Incorrecto. Un pólipo es una lesión precursora, no necesariamente cáncer avanzado todavía.","Gastroenterología Básica"
3,4,"Si se encuentra un pólipo durante una colonoscopía, ¿qué se suele hacer?","Dejarlo ahí para observar","Extirparlo (polipectomía) para prevenir el cáncer","Recetar antibióticos","Programar cirugía mayor inmediata",1,"Correcto. Extirpar pólipos rompe la secuencia adenoma-carcinoma, previniendo el cáncer.","Incorrecto. Dejarlos aumenta el riesgo de que malignicen; se deben quitar.","Guías Clínicas Endoscopía"
4,2,"¿Cuál de estos NO es un síntoma común de cáncer de colon en etapas iniciales?","Sangrado rectal","Cambios en hábitos intestinales","Dolor de cabeza intenso","Pérdida de peso inexplicable",2,"Correcto. El dolor de cabeza no es un síntoma específico ni relacionado directamente con el colon.","Incorrecto. Sangrado y cambios intestinales son signos de alarma clásicos.","Sintomatología Oncológica"
2,3,"¿Qué enfermedad inflamatoria intestinal aumenta el riesgo de cáncer colorrectal?","Gastritis","Colitis Ulcerosa o Enfermedad de Crohn","Apendicitis","Síndrome de intestino irritable",1,"Correcto. La inflamación crónica del colon en estas enfermedades aumenta el riesgo de displasia.","Incorrecto. La gastritis es estomacal y el intestino irritable no aumenta el riesgo de cáncer.","Gastroenterología Clínica"
4,3,"¿Qué vitamina se estudia por su posible efecto protector en el cáncer de colon?","Vitamina D","Vitamina C","Vitamina A","Vitamina K",0,"Correcto. Niveles adecuados de Vitamina D se asocian con menor incidencia en estudios observacionales.","Incorrecto. Aunque todas son buenas, la evidencia más fuerte de protección específica es para la Vitamina D.","Investigación Nutricional"
1,2,"¿Afecta el cáncer de colon por igual a hombres y mujeres?","Solo a hombres","Solo a mujeres","Afecta a ambos, con incidencia ligeramente mayor en hombres","Solo a niños",2,"Correcto. Ambos sexos deben tamizarse, aunque los hombres tienen un riesgo levemente superior.","Incorrecto. Es un error común pensar que solo afecta a hombres; es el 2do cáncer más común en mujeres.","Estadísticas Globocan"
3,2,"¿Qué significa que una prueba de sangre oculta en heces sea positiva?","Que tienes cáncer seguro","Que hay sangre en las heces y se necesita una colonoscopía","Que comiste remolacha","Que estás sano",1,"Correcto. Indica sangrado digestivo que debe investigarse, no confirma cáncer por sí sola.","Incorrecto. No es diagnóstico de cáncer, es una señal de alarma para investigar más.","Protocolos de Tamizaje"
2,4,"¿Qué es el Síndrome de Lynch?","Una infección viral","Una condición hereditaria que aumenta el riesgo de cáncer de colon","Un tipo de dieta","Un medicamento",1,"Correcto. Es la forma más común de cáncer colorrectal hereditario no polipósico.","Incorrecto. Es un trastorno genético, no una infección o factor ambiental.","Genética Médica"
4,2,"¿Cuántos minutos de actividad física moderada se recomiendan semanalmente para reducir riesgos?","15 minutos","Al menos 150 minutos","500 minutos","No hace falta ejercicio",1,"Correcto. La OMS recomienda al menos 150 minutos semanales para reducir riesgo de ENT.","Incorrecto. Menos de eso puede ser insuficiente para el efecto protector cardiovascular y oncológico.","Recomendaciones OMS"
3,5,"¿Cuál es la sensibilidad aproximada de la colonoscopía para detectar cáncer?","10%","50%","Superior al 95%","100% infalible",2,"Correcto. Es el 'Gold Standard' con una sensibilidad muy alta para lesiones avanzadas.","Incorrecto. Aunque no es perfecta, su sensibilidad es mucho mayor al 50%.","Estudios Diagnósticos"
1,3,"¿En qué país de Latinoamérica es especialmente alta la incidencia de cáncer de colon?","Ecuador","Uruguay/Argentina","Haití","Bolivia",1,"Correcto. Los países del Cono Sur tienen tasas más altas, similares a países desarrollados.","Incorrecto. Aunque aumenta en Ecuador, las tasas más altas de la región están en el Cono Sur.","Registros de Cáncer Latam"
4,3,"¿El consumo de calcio y lácteos podría reducir el riesgo de cáncer de colon?","Sí, existe evidencia de un efecto protector probable","No, aumentan el riesgo","Es irrelevante","Solo si es leche entera",0,"Correcto. El calcio puede unirse a ácidos biliares y reducir la proliferación celular.","Incorrecto. La evidencia apunta a un efecto protector moderado, no a un aumento de riesgo.","WCRF / AICR"
2,1,"¿Fumar aumenta el riesgo de formar pólipos en el colon?","Sí","No","Solo en los pulmones","Depende de la marca",0,"Correcto. Los fumadores tienen más riesgo de desarrollar pólipos y que estos sean agresivos.","Incorrecto. El tabaco afecta sistémicamente, incluyendo la mucosa colónica.","Surgeon General Report"
3,3,"¿Qué es la colonoscopía virtual?","Un videojuego","Una tomografía (TC) que reconstruye imágenes del colon","Una endoscopía tradicional","Un análisis de sangre",1,"Correcto. Es una técnica radiológica no invasiva alternativa a la colonoscopía tradicional.","Incorrecto. Es un estudio de imagen real (TC), no una simulación lúdica.","Radiología Diagnóstica"
